iter	Passed	Remaining
407	6006	141209
408	6020	141173
409	6033	141127
410	6046	141067
411	6058	140996
412	6070	140924
413	6084	140890
414	6101	140914
415	6115	140888
416	6131	140912
417	6146	140899
418	6162	140913
419	6181	140988
420	6196	140978
421	6211	140982
422	6226	140976
423	6240	140936
424	6253	140891
425	6267	140856
426	6283	140882
427	6297	140844
428	6310	140793
429	6323	140737
430	6336	140680
431	6350	140643
432	6362	140587
433	6375	140529
434	6388	140481
435	6402	140448
436	6416	140406
437	6429	140370
438	6443	140335
439	6458	140335
440	6481	140482
441	6497	140512
442	6518	140627
443	6538	140734
444	6556	140786
445	6573	140811
446	6589	140829
447	6605	140833
448	6620	140826
449	6635	140824
450	6654	140903
451	6671	140918
452	6685	140894
453	6702	140919
454	6717	140923
455	6731	140899
456	6745	140853
457	6761	140864
458	6777	140887
459	6794	140911
460	6808	140884
461	6822	140850
462	6836	140812
463	6851	140807
464	6866	140797
465	6882	140808
466	6896	140781
467	6910	140756
468	6927	140785
469	6944	140820
470	6960	140815
471	6974	140799
472	6988	140757
473	7002	140735
474	7021	140793
475	7037	140812
476	7053	140823
477	7071	140877
478	7085	140834
479	7098	140788
480	7112	140759
481	7126	140728
482	7140	140703
483	7157	140716
484	7172	140717
485	7186	140688
486	7202	140699
487	7218	140708
488	7234	140705
489	7247	140653
490	7264	140691
491	7280	140705
492	7295	140682
493	7309	140656
494	7325	140657
495	7339	140642
496	7355	140635
497	7369	140611
498	7384	140605
499	7402	140645
500	7419	140680
501	7435	140689
502	7452	140707
503	7466	140684
504	7482	140684
505	7498	140691
506	7513	140678
507	7528	140664
508	7547	140732
509	7563	140736
510	7579	140742
511	7593	140714
512	7607	140680
513	7620	140635
514	7636	140636
515	7648	140584
516	7662	140545
517	7678	140561
518	7692	140531
519	7706	140493
520	7720	140461
521	7733	140424
522	7747	140388
523	7762	140379
524	7777	140373
525	7792	140358
526	7807	140350
527	7822	140331
528	7839	140349
529	7854	140335
530	7868	140305
531	7881	140268
532	7894	140226
533	7909	140206
534	7922	140158
535	7937	140146
536	7950	140103
537	7965	140088
538	7980	140072
539	7992	140022
540	8007	140007
541	8021	139974
542	8035	139951
543	8050	139939
544	8065	139922
545	8080	139908
546	8097	139931
547	8112	139934
548	8128	139927
549	8148	140004
550	8167	140067
551	8185	140105
552	8200	140095
553	8216	140101
554	8233	140117
555	8250	140131
556	8266	140149
557	8283	140167
558	8300	140180
559	8316	140193
560	8333	140210
561	8346	140174
562	8360	140144
563	8375	140121
564	8388	140076
565	8401	140038
566	8417	140037
567	8433	140040
568	8446	139992
569	8461	139992
570	8477	139984
571	8491	139955
572	8507	139963
573	8524	139992
574	8540	139985
575	8558	140023
576	8571	139986
577	8585	139949
578	8598	139910
579	8614	139908
580	8626	139855
581	8642	139846
582	8655	139809
583	8669	139774
584	8682	139739
585	8700	139767
586	8717	139793
587	8735	139823
588	8751	139828
589	8765	139804
590	8782	139817
591	8797	139809
592	8813	139805
593	8826	139764
594	8840	139734
595	8853	139700
596	8867	139671
597	8882	139661
598	8899	139677
599	8918	139721
600	8934	139725
601	8949	139709
602	8963	139683
603	8978	139676
604	8992	139650
605	9011	139687
606	9028	139704
607	9044	139711
608	9059	139704
609	9074	139682
610	9089	139672
611	9103	139648
612	9117	139620
613	9132	139609
614	9147	139585
615	9160	139553
616	9173	139512
617	9186	139463
618	9198	139408
619	9210	139352
620	9223	139309
621	9239	139309
622	9254	139292
623	9268	139261
624	9282	139238
625	9297	139226
626	9312	139219
627	9334	139301
628	9353	139344
629	9370	139371
630	9386	139370
631	9403	139388
632	9420	139402
633	9435	139396
634	9448	139350
635	9461	139308
636	9475	139271
637	9488	139231
638	9502	139205
639	9515	139167
640	9529	139133
641	9543	139103
642	9557	139083
643	9571	139057
644	9585	139032
645	9599	138996
646	9614	138983
647	9631	138996
648	9645	138970
649	9660	138967
650	9674	138936
651	9688	138905
652	9703	138898
653	9720	138914
654	9734	138889
655	9749	138864
656	9762	138833
657	9776	138804
658	9794	138826
659	9810	138836
660	9825	138826
661	9838	138783
662	9853	138765
663	9867	138737
664	9882	138725
665	9897	138708
666	9910	138669
667	9924	138650
668	9938	138624
669	9953	138599
670	9966	138560
671	9982	138562
672	9998	138571
673	10013	138554
674	10029	138549
675	10043	138524
676	10056	138490
677	10071	138473
678	10084	138441
679	10099	138415
680	10115	138424
681	10130	138417
682	10145	138398
683	10160	138386
684	10178	138410
685	10192	138389
686	10206	138354
687	10218	138308
688	10231	138271
689	10244	138232
690	10257	138193
691	10270	138152
692	10284	138115
693	10298	138092
694	10312	138063
695	10325	138034
696	10339	138005
697	10356	138010
698	10370	137995
699	10386	137989
700	10401	137977
701	10416	137970
702	10432	137961
703	10446	137944
704	10459	137907
705	10473	137881
706	10488	137861
707	10502	137842
708	10518	137832
709	10532	137808
710	10545	137775
711	10558	137733
712	10574	137730
713	10588	137711
714	10601	137668
715	10613	137617
716	10625	137571
717	10637	137520
718	10649	137471
719	10662	137426
720	10675	137389
721	10690	137371
722	10704	137351
723	10718	137328
724	10732	137300
725	10745	137266
726	10758	137231
727	10771	137187
728	10783	137143
729	10796	137098
730	10808	137055
731	10821	137012
732	10834	136972
733	10850	136970
734	10864	136956
735	10878	136930
736	10892	136900
737	10907	136885
738	10920	136849
739	10932	136801
740	10945	136767
741	10958	136735
742	10971	136690
743	10983	136650
744	10996	136610
745	11009	136573
746	11024	136558
747	11038	136534
748	11053	136521
749	11069	136524
750	11088	136565
751	11104	136557
752	11120	136556
753	11135	136550
754	11149	136527
755	11162	136495
756	11176	136459
757	11194	136490
758	11210	136496
759	11227	136508
760	11245	136521
761	11259	136498
762	11273	136483
763	11288	136460
764	11301	136433
765	11318	136444
766	11335	136455
767	11350	136437
768	11365	136429
769	11380	136412
770	11394	136390
771	11407	136352
772	11420	136319
773	11435	136308
774	11449	136288
775	11468	136326
776	11488	136365
777	11503	136354
778	11517	136334
779	11533	136328
780	11548	136319
781	11564	136319
782	11578	136300
783	11593	136286
784	11610	136297
785	11628	136311
786	11643	136304
787	11661	136329
788	11678	136334
789	11694	136333
790	11707	136306
791	11722	136284
792	11737	136279
793	11750	136244
794	11764	136216
795	11777	136177
796	11791	136157
797	11805	136127
798	11819	136104
799	11835	136108
800	11852	136118
801	11867	136110
802	11881	136076
803	11895	136062
804	11910	136046
805	11928	136066
806	11942	136040
807	11955	136013
808	11970	135996
809	11987	136000
810	12005	136025
811	12022	136034
812	12041	136070
813	12064	136151
814	12080	136151
815	12094	136122
816	12108	136101
817	12123	136088
818	12139	136087
819	12153	136064
820	12167	136031
821	12180	136003
822	12196	135994
823	12212	135997
824	12227	135980
825	12242	135970
826	12255	135935
827	12268	135904
828	12282	135873
829	12294	135835
830	12308	135804
831	12321	135777
832	12335	135744
833	12348	135713
834	12361	135676
835	12376	135667
836	12393	135682
837	12410	135685
838	12425	135677
839	12441	135669
840	12456	135655
841	12469	135621
842	12482	135590
843	12497	135574
844	12512	135559
845	12526	135535
846	12539	135509
847	12553	135480
848	12567	135456
849	12583	135457
850	12597	135435
851	12612	135418
852	12626	135397
853	12641	135386
854	12656	135368
855	12670	135351
856	12686	135349
857	12706	135392
858	12721	135380
859	12737	135378
860	12753	135369
861	12769	135371
862	12784	135357
863	12799	135342
864	12816	135355
865	12831	135336
866	12846	135325
867	12859	135295
868	12873	135272
869	12889	135263
870	12904	135252
871	12918	135232
872	12933	135217
873	12947	135188
874	12965	135211
875	12979	135187
876	12996	135201
877	13010	135177
878	13025	135164
879	13040	135142
880	13053	135113
881	13067	135087
882	13081	135062
883	13094	135033
884	13108	135008
885	13123	134995
886	13138	134984
887	13153	134970
888	13169	134966
889	13183	134943
890	13197	134921
891	13212	134906
892	13227	134894
893	13242	134879
894	13257	134866
895	13272	134860
896	13286	134833
897	13299	134805
898	13313	134781
899	13327	134760
900	13342	134740
901	13355	134708
902	13368	134679
903	13382	134654
904	13395	134616
905	13408	134585
906	13421	134552
907	13433	134512
908	13448	134496
909	13462	134477
910	13475	134448
911	13490	134434
912	13505	134419
913	13520	134403
914	13534	134381
915	13547	134351
916	13561	134327
917	13574	134293
918	13588	134276
919	13606	134293
920	13625	134312
921	13641	134316
922	13658	134319
923	13674	134317
924	13689	134303
925	13704	134290
926	13719	134282
927	13735	134274
928	13750	134261
929	13765	134253
930	13784	134274
931	13801	134283
932	13816	134269
933	13831	134260
934	13849	134273
935	13869	134309
936	13891	134364
937	13913	134413
938	13932	134441
939	13949	134450
940	13965	134447
941	13982	134451
942	13999	134455
943	14013	134433
944	14027	134411
945	14042	134401
946	14058	134397
947	14075	134399
948	14092	134401
949	14105	134375
950	14119	134350
951	14132	134321
952	14147	134309
953	14161	134278
954	14176	134268
955	14190	134246
956	14203	134213
957	14216	134180
958	14230	134154
959	14245	134142
960	14258	134113
961	14272	134086
962	14284	134049
963	14297	134012
964	14309	133975
965	14322	133939
966	14334	133901
967	14346	133863
968	14358	133823
969	14371	133786
970	14383	133746
971	14396	133716
972	14411	133701
973	14425	133682
974	14438	133651
975	14451	133620
976	14465	133598
977	14478	133566
978	14492	133538
979	14504	133504
980	14518	133478
981	14532	133458
982	14546	133432
983	14560	133409
984	14573	133381
985	14588	133364
986	14602	133345
987	14617	133329
988	14632	133319
989	14651	133339
990	14670	133369
991	14684	133344
992	14702	133355
993	14715	133332
994	14732	133332
995	14746	133311
996	14765	133330
997	14782	133336
998	14802	133371
999	14820	133387
1000	14834	133362
1001	14848	133336
1002	14862	133319
1003	14876	133294
1004	14889	133268
1005	14904	133252
1006	14918	133228
1007	14931	133201
1008	14944	133170
1009	14959	133153
1010	14973	133132
1011	14989	133126
1012	15003	133105
1013	15017	133083
1014	15032	133075
1015	15049	133076
1016	15065	133073
1017	15081	133063
1018	15094	133033
1019	15107	133001
1020	15120	132975
1021	15138	132985
1022	15152	132964
1023	15168	132957
1024	15181	132929
1025	15194	132901
1026	15207	132872
1027	15220	132837
1028	15234	132816
1029	15247	132788
1030	15261	132764
1031	15274	132732
1032	15287	132702
1033	15300	132669
1034	15313	132640
1035	15329	132640
1036	15346	132644
1037	15361	132626
1038	15375	132605
1039	15388	132579
1040	15402	132555
1041	15415	132525
1042	15432	132525
1043	15446	132511
1044	15461	132495
1045	15475	132476
1046	15490	132463
1047	15507	132463
1048	15523	132460
1049	15537	132440
1050	15552	132424
1051	15567	132412
1052	15581	132390
1053	15595	132372
1054	15610	132355
1055	15625	132346
1056	15640	132331
1057	15656	132326
1058	15674	132336
1059	15688	132319
1060	15704	132308
1061	15718	132291
1062	15735	132289
1063	15749	132275
1064	15763	132247
1065	15778	132238
1066	15792	132215
1067	15805	132184
1068	15818	132158
1069	15831	132127
1070	15846	132110
1071	15862	132110
1072	15883	132148
1073	15901	132156
1074	15916	132142
1075	15929	132111
1076	15942	132084
1077	15955	132057
1078	15969	132034
1079	15982	132006
1080	15995	131976
1081	16009	131948
1082	16021	131918
1083	16035	131890
1084	16048	131866
1085	16062	131841
1086	16077	131828
1087	16092	131815
1088	16106	131794
1089	16119	131766
1090	16132	131738
1091	16147	131725
1092	16161	131698
1093	16174	131672
1094	16187	131647
1095	16201	131619
1096	16213	131588
1097	16226	131559
1098	16242	131551
1099	16257	131538
1100	16272	131522
1101	16286	131504
1102	16300	131483
1103	16316	131475
1104	16330	131460
1105	16346	131449
1106	16361	131441
1107	16376	131423
1108	16396	131450
1109	16413	131452
1110	16427	131433
1111	16442	131421
1112	16455	131392
1113	16467	131356
1114	16479	131321
1115	16492	131288
1116	16505	131258
1117	16517	131222
1118	16529	131189
1119	16543	131164
1120	16555	131130
1121	16567	131094
1122	16580	131060
1123	16592	131024
1124	16604	130990
1125	16616	130958
1126	16630	130934
1127	16643	130905
1128	16655	130869
1129	16668	130836
1130	16680	130803
1131	16693	130773
1132	16705	130739
1133	16718	130712
1134	16730	130676
1135	16743	130646
1136	16756	130619
1137	16769	130590
1138	16782	130563
1139	16797	130550
1140	16816	130564
1141	16833	130569
1142	16850	130572
1143	16864	130553
1144	16878	130533
1145	16893	130516
1146	16909	130516
1147	16927	130525
1148	16941	130507
1149	16955	130487
1150	16969	130460
1151	16984	130446
1152	16997	130418
1153	17010	130394
1154	17023	130369
1155	17037	130342
1156	17050	130320
1157	17065	130302
1158	17079	130281
1159	17092	130259
1160	17106	130235
1161	17120	130214
1162	17133	130189
1163	17149	130181
1164	17166	130188
1165	17180	130166
1166	17195	130156
1167	17210	130143
1168	17224	130122
1169	17238	130098
1170	17252	130080
1171	17267	130065
1172	17282	130054
1173	17297	130038
1174	17310	130009
1175	17323	129987
1176	17336	129959
1177	17353	129957
1178	17368	129948
1179	17381	129920
1180	17395	129896
1181	17409	129876
1182	17423	129855
1183	17436	129834
1184	17451	129816
1185	17465	129801
1186	17480	129787
1187	17494	129764
1188	17512	129774
1189	17534	129815
1190	17549	129801
1191	17563	129782
1192	17582	129797
1193	17596	129776
1194	17610	129756
1195	17625	129743
1196	17638	129717
1197	17652	129694
1198	17665	129672
1199	17681	129662
1200	17694	129637
1201	17707	129609
1202	17724	129613
1203	17743	129627
1204	17758	129615
1205	17776	129622
1206	17792	129619
1207	17806	129595
1208	17820	129581
1209	17838	129588
1210	17855	129592
1211	17871	129582
1212	17886	129571
1213	17901	129553
1214	17920	129574
1215	17937	129571
1216	17950	129547
1217	17964	129525
1218	17977	129499
1219	17990	129473
1220	18004	129449
1221	18017	129422
1222	18030	129397
1223	18043	129370
1224	18056	129345
1225	18070	129326
1226	18085	129310
1227	18100	129300
1228	18115	129284
1229	18128	129259
1230	18141	129232
1231	18154	129204
1232	18167	129179
1233	18181	129153
1234	18193	129124
1235	18207	129101
1236	18220	129072
1237	18233	129045
1238	18245	129016
1239	18259	128997
1240	18275	128992
1241	18290	128977
1242	18306	128970
1243	18319	128945
1244	18333	128925
1245	18347	128900
1246	18361	128880
1247	18374	128855
1248	18388	128835
1249	18406	128848
1250	18420	128827
1251	18434	128803
1252	18451	128803
1253	18466	128794
1254	18482	128786
1255	18501	128801
1256	18517	128795
1257	18531	128775
1258	18545	128755
1259	18559	128738
1260	18577	128746
1261	18593	128741
1262	18608	128726
1263	18624	128722
1264	18643	128736
1265	18662	128752
1266	18675	128722
1267	18687	128687
1268	18699	128653
1269	18711	128621
1270	18723	128589
1271	18735	128559
1272	18748	128530
1273	18761	128502
1274	18773	128472
1275	18786	128446
1276	18804	128451
1277	18820	128443
1278	18837	128444
1279	18854	128443
1280	18871	128444
1281	18887	128439
1282	18900	128415
1283	18913	128385
1284	18925	128353
1285	18937	128322
1286	18952	128307
1287	18967	128294
1288	18981	128278
1289	18998	128276
1290	19012	128259
1291	19027	128241
1292	19040	128219
1293	19054	128197
1294	19067	128172
1295	19080	128146
1296	19093	128116
1297	19105	128088
1298	19118	128060
1299	19130	128029
1300	19143	128000
1301	19156	127974
1302	19174	127982
1303	19193	127998
1304	19212	128007
1305	19229	128010
1306	19248	128024
1307	19267	128035
1308	19281	128015
1309	19294	127988
1310	19307	127963
1311	19324	127963
1312	19338	127946
1313	19352	127924
1314	19365	127903
1315	19378	127873
1316	19391	127849
1317	19405	127828
1318	19418	127805
1319	19433	127787
1320	19446	127764
1321	19460	127744
1322	19479	127758
1323	19496	127760
1324	19512	127753
1325	19529	127749
1326	19544	127736
1327	19559	127724
1328	19574	127711
1329	19587	127683
1330	19600	127657
1331	19612	127630
1332	19628	127622
1333	19641	127596
1334	19654	127570
1335	19667	127545
1336	19681	127523
1337	19696	127514
1338	19711	127495
1339	19728	127497
1340	19744	127490
1341	19758	127473
1342	19772	127456
1343	19787	127439
1344	19800	127414
1345	19812	127383
1346	19825	127358
1347	19839	127335
1348	19852	127309
1349	19866	127292
1350	19880	127273
1351	19893	127250
1352	19909	127242
1353	19924	127228
1354	19938	127208
1355	19953	127194
1356	19966	127168
1357	19980	127153
1358	19995	127137
1359	20008	127114
1360	20022	127091
1361	20039	127094
1362	20053	127074
1363	20067	127053
1364	20083	127048
1365	20098	127036
1366	20111	127013
1367	20125	126993
1368	20139	126972
1369	20153	126951
1370	20166	126929
1371	20180	126909
1372	20194	126886
1373	20207	126862
1374	20222	126852
1375	20238	126844
1376	20255	126841
1377	20270	126828
1378	20287	126827
1379	20305	126836
1380	20323	126839
1381	20339	126836
1382	20352	126808
1383	20365	126785
1384	20379	126765
1385	20394	126753
1386	20408	126733
1387	20421	126710
1388	20435	126686
1389	20450	126674
1390	20466	126667
1391	20479	126641
1392	20493	126626
1393	20506	126601
1394	20520	126576
1395	20533	126551
1396	20546	126530
1397	20559	126504
1398	20575	126495
1399	20591	126488
1400	20610	126505
1401	20624	126483
1402	20641	126482
1403	20659	126485
1404	20677	126495
1405	20691	126473
1406	20706	126459
1407	20721	126447
1408	20737	126441
1409	20753	126431
1410	20768	126419
1411	20783	126407
1412	20799	126398
1413	20815	126391
1414	20830	126383
1415	20846	126374
1416	20859	126351
1417	20873	126328
1418	20886	126304
1419	20899	126281
1420	20913	126261
1421	20927	126240
1422	20939	126211
1423	20953	126189
1424	20966	126165
1425	20981	126150
1426	20994	126131
1427	21011	126127
1428	21025	126111
1429	21038	126082
1430	21051	126061
1431	21064	126034
1432	21077	126007
1433	21090	125985
1434	21103	125959
1435	21116	125936
1436	21131	125918
1437	21143	125893
1438	21158	125877
1439	21171	125853
1440	21186	125838
1441	21202	125830
1442	21216	125816
1443	21229	125791
1444	21243	125769
1445	21256	125747
1446	21269	125721
1447	21282	125693
1448	21295	125670
1449	21308	125644
1450	21325	125645
1451	21339	125627
1452	21352	125603
1453	21371	125612
1454	21389	125617
1455	21404	125605
1456	21420	125598
1457	21434	125578
1458	21453	125588
1459	21470	125587
1460	21485	125572
1461	21500	125560
1462	21519	125569
1463	21534	125557
1464	21548	125541
1465	21564	125533
1466	21579	125521
1467	21597	125521
1468	21613	125517
1469	21628	125503
1470	21644	125494
1471	21657	125473
1472	21672	125459
1473	21686	125437
1474	21699	125413
1475	21713	125399
1476	21731	125402
1477	21747	125394
1478	21761	125376
1479	21775	125355
1480	21788	125333
1481	21802	125312
1482	21816	125293
1483	21829	125270
1484	21849	125282
1485	21864	125270
1486	21881	125272
1487	21899	125274
1488	21917	125277
1489	21931	125259
1490	21945	125238
1491	21959	125219
1492	21971	125194
1493	21985	125170
1494	21998	125148
1495	22011	125121
1496	22024	125098
1497	22037	125076
1498	22051	125054
1499	22064	125030
1500	22077	125008
1501	22094	125006
1502	22109	124994
1503	22126	124993
1504	22141	124979
1505	22155	124959
1506	22169	124939
1507	22182	124915
1508	22197	124900
1509	22212	124888
1510	22225	124863
1511	22238	124838
1512	22250	124814
1513	22264	124791
1514	22278	124776
1515	22296	124778
1516	22312	124772
1517	22327	124756
1518	22343	124749
1519	22356	124724
1520	22369	124701
1521	22383	124680
1522	22397	124664
1523	22410	124641
1524	22424	124620
1525	22437	124594
1526	22450	124574
1527	22465	124562
1528	22480	124546
1529	22494	124527
1530	22511	124528
1531	22528	124524
1532	22546	124529
1533	22565	124534
1534	22581	124529
1535	22596	124518
1536	22610	124498
1537	22624	124479
1538	22639	124464
1539	22657	124468
1540	22673	124459
1541	22687	124442
1542	22701	124421
1543	22714	124399
1544	22728	124381
1545	22742	124360
1546	22755	124339
1547	22769	124318
1548	22782	124297
1549	22796	124278
1550	22810	124258
1551	22827	124258
1552	22842	124243
1553	22856	124227
1554	22870	124204
1555	22882	124179
1556	22896	124157
1557	22909	124132
1558	22923	124113
1559	22936	124091
1560	22948	124065
1561	22962	124045
1562	22976	124025
1563	22990	124005
1564	23004	123988
1565	23018	123970
1566	23038	123985
1567	23054	123978
1568	23069	123965
1569	23084	123952
1570	23100	123940
1571	23116	123936
1572	23130	123916
1573	23144	123897
1574	23158	123877
1575	23172	123860
1576	23186	123843
1577	23201	123828
1578	23215	123812
1579	23229	123790
1580	23248	123803
1581	23266	123802
1582	23282	123797
1583	23299	123793
1584	23316	123790
1585	23333	123786
1586	23348	123775
1587	23363	123762
1588	23378	123748
1589	23392	123728
1590	23405	123706
1591	23417	123679
1592	23431	123657
1593	23444	123634
1594	23459	123623
1595	23474	123609
1596	23489	123596
1597	23503	123579
1598	23519	123568
1599	23535	123562
1600	23549	123542
1601	23564	123527
1602	23579	123515
1603	23598	123526
1604	23611	123501
1605	23629	123500
1606	23644	123489
1607	23659	123478
1608	23674	123465
1609	23689	123451
1610	23708	123458
1611	23723	123445
1612	23743	123457
1613	23763	123471
1614	23781	123469
1615	23800	123479
1616	23818	123480
1617	23835	123480
1618	23849	123459
1619	23863	123439
1620	23877	123424
1621	23891	123403
1622	23904	123383
1623	23919	123368
1624	23936	123366
1625	23951	123349
1626	23965	123331
1627	23978	123309
1628	23992	123291
1629	24006	123270
1630	24019	123251
1631	24033	123231
1632	24052	123239
1633	24069	123235
1634	24085	123226
1635	24100	123212
1636	24116	123203
1637	24134	123207
1638	24151	123202
1639	24167	123196
1640	24183	123185
1641	24199	123180
1642	24214	123162
1643	24227	123144
1644	24243	123132
1645	24256	123111
1646	24269	123087
1647	24287	123089
1648	24302	123073
1649	24318	123064
1650	24334	123055
1651	24349	123044
1652	24364	123030
1653	24378	123013
1654	24391	122991
1655	24404	122966
1656	24417	122941
1657	24430	122919
1658	24443	122897
1659	24457	122879
1660	24478	122891
1661	24497	122897
1662	24514	122895
1663	24529	122883
1664	24545	122872
1665	24558	122850
1666	24572	122831
1667	24585	122807
1668	24599	122791
1669	24612	122770
